العيار,سعر البيع,سعر الشراء,,آخر تحديث: الاثنين 2026/06/01 03:02 PM
عيار 24,"7,685","7,630",,
عيار 21,"6,725","6,675",,
عيار 18,"5,765","5,720",,
عيار 14,"4,485","4,450",,
الجنيه الذهب,"53,800","53,400",,
دولار البنك,51٫98,,,
# Last Update: Mon Jun  1 12:28:57 2026
